,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,price_predict,carat_log
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,2632.0923079581053,3240.327571131172,-0.342490308946776
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,692.3559648221893,207.11761904473406,-1.1394342831883648
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1462.5558840840129,1607.0606738538595,-0.6931471805599453
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1511.9022891473296,1684.835288009922,-0.6733445532637656
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,1875.5313480233458,2229.257587102359,-0.5447271754416722
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,621.3865913129209,51.56839073260926,-1.2039728043259361
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,964.486283295726,751.5399181371722,-0.941608539858445
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,656.4845266114595,129.3430048886721,-1.171182981502945
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,3916.2557342213877,4718.04524009636,-0.10536051565782628
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,3282.430178959913,4018.073712691798,-0.21072103131565253
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,2570.2674977629886,3162.5529569751097,-0.35667494393873245
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,923.4056669432248,673.7653039811094,-0.9675840262617056
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,2632.0923079581053,3240.327571131172,-0.342490308946776
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,2632.0923079581053,3240.327571131172,-0.342490308946776
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,3916.2557342213877,4718.04524009636,-0.10536051565782628
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,2821.1032664628606,3473.6514135993602,-0.3011050927839216
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9217.680181288046,9384.522089460112,0.4054651081081644
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9217.680181288046,9384.522089460112,0.4054651081081644
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1092.0128089311283,984.8637606053594,-0.8675005677047231
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,4751.031285514873,5573.565995813048,0.009950330853168092
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,21405.57300465055,17006.434276754237,0.9082585601768908
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,4830.119169181164,5651.340609969111,0.01980262729617973
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,1006.2848951620792,829.3145322932346,-0.916290731874155
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,2570.2674977629886,3162.5529569751097,-0.35667494393873245
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,4751.031285514873,5573.565995813048,0.009950330853168092
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,5734.42416173472,6506.861365685798,0.12221763272424911
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5398.361258379835,6195.762909061548,0.08617769624105241
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,2570.2674977629886,3162.5529569751097,-0.35667494393873245
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4672.470742601347,5495.791381656985,0.0
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9424.55336677496,9540.071317772235,0.41871033485818504
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,1048.7956305905404,907.0891464492965,-0.8915981192837836
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1135.9309301583232,1062.6383747614223,-0.843970070294529
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,656.4845266114595,129.3430048886721,-1.171182981502945
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,728.9929808348528,284.8922332007969,-1.1086626245216111
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,2570.2674977629886,3162.5529569751097,-0.35667494393873245
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,728.9929808348528,284.8922332007969,-1.1086626245216111
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,5991.815728777554,6740.1852081539855,0.14842000511827322
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1511.9022891473296,1684.835288009922,-0.6733445532637656
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,5734.42416173472,6506.861365685798,0.12221763272424911
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1561.9068580492603,1762.6099021659852,-0.6539264674066639
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,398.1051832867656,-492.85390835982844,-1.4696759700589417
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1462.5558840840129,1607.0606738538595,-0.6931471805599453
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,5315.627911333783,6117.988294905486,0.0769610411361284
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,621.3865913129209,51.56839073260926,-1.2039728043259361
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1365.8546424166577,1451.5114455417347,-0.7339691750802004
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9320.885344580247,9462.296703616174,0.412109650826833
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4909.732711315087,5729.115224125173,0.02955880224154443
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,656.4845266114595,129.3430048886721,-1.171182981502945
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,1006.2848951620792,829.3145322932346,-0.916290731874155
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,4909.732711315087,5729.115224125173,0.02955880224154443
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,5991.815728777554,6740.1852081539855,0.14842000511827322
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,4989.870251333483,5806.889838281236,0.03922071315328133
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,2632.0923079581053,3240.327571131172,-0.342490308946776
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,587.0704301742494,-26.20622342345314,-1.2378743560016174
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5398.361258379835,6195.762909061548,0.08617769624105241
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,2821.1032664628606,3473.6514135993602,-0.3011050927839216
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1092.0128089311283,984.8637606053594,-0.8675005677047231
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1663.8740631244978,1918.15913047811,-0.616186139423817
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1511.9022891473296,1684.835288009922,-0.6733445532637656
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4751.031285514873,5573.565995813048,0.009950330853168092
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4672.470742601347,5495.791381656985,0.0
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4830.119169181164,5651.340609969111,0.01980262729617973
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,2757.5128435314978,3395.8767994432974,-0.31471074483970024
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4751.031285514873,5573.565995813048,0.009950330853168092
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,728.9929808348528,284.8922332007969,-1.1086626245216111
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,6520.174671080099,7206.832893090361,0.19885085874516517
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,656.4845266114595,129.3430048886721,-1.171182981502945
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,5233.410568281698,6040.2136807494235,0.06765864847381486
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,4751.031285514873,5573.565995813048,0.009950330853168092
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,398.1051832867656,-492.85390835982844,-1.4696759700589417
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,804.5336310506847,440.4414615129217,-1.0498221244986778
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,1715.8287424954092,1995.9337446341726,-0.5978370007556204
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,3916.2557342213877,4718.04524009636,-0.10536051565782628
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,2694.5083150836263,3318.1021852872345,-0.3285040669720361
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3419.3711674028964,4173.622941003922,-0.18632957819149348
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,4989.870251333483,5806.889838281236,0.03922071315328133
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,2632.0923079581053,3240.327571131172,-0.342490308946776
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1135.9309301583232,1062.6383747614223,-0.843970070294529
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,728.9929808348528,284.8922332007969,-1.1086626245216111
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11593.649525334404,11095.563600893487,0.5423242908253617
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5734.42416173472,6506.861365685798,0.12221763272424911
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1561.9068580492603,1762.6099021659852,-0.6539264674066639
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,621.3865913129209,51.56839073260926,-1.2039728043259361
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9528.683258107107,9617.8459319283,0.4252677354043441
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,15178.2608243069,13428.802025575362,0.7030975114131134
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,728.9929808348528,284.8922332007969,-1.1086626245216111
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,2570.2674977629886,3162.5529569751097,-0.35667494393873245
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,6882.35228214975,7517.931349714611,0.23111172096338664
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,621.3865913129209,51.56839073260926,-1.2039728043259361
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,1930.032886174904,2307.032201258422,-0.527632742082372
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,3350.61856591658,4095.84832684786,-0.19845093872383832
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,964.486283295726,751.5399181371722,-0.941608539858445
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,656.4845266114595,129.3430048886721,-1.171182981502945
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,6882.35228214975,7517.931349714611,0.23111172096338664
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9320.885344580247,9462.296703616174,0.412109650826833
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,1768.4256633686064,2073.7083587902353,-0.579818495252942
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,656.4845266114595,129.3430048886721,-1.171182981502945
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,1768.4256633686064,2073.7083587902353,-0.579818495252942
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4363.536412377844,5184.692925032736,-0.040821994520255166
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1561.9068580492603,1762.6099021659852,-0.6539264674066639
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,4830.119169181164,5651.340609969111,0.01980262729617973
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5151.710788296554,5962.439066593361,0.058268908123975824
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,6430.867017572213,7129.058278934299,0.1906203596086497
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,15178.2608243069,13428.802025575362,0.7030975114131134
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9424.55336677496,9540.071317772235,0.41871033485818504
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,15304.38277897579,13506.576639731424,0.7080357930536959
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,553.5446880262255,-103.98083757951508,-1.2729656758128873
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,2570.2674977629886,3162.5529569751097,-0.35667494393873245
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,2570.2674977629886,3162.5529569751097,-0.35667494393873245
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,19142.231754997676,15762.040450257236,0.8415671856782185
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,1875.5313480233458,2229.257587102359,-0.5447271754416722
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1663.8740631244978,1918.15913047811,-0.616186139423817
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,6342.056693904903,7051.283664778235,0.1823215567939546
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1561.9068580492603,1762.6099021659852,-0.6539264674066639
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9949.80201731575,9928.944388552549,0.45107561936021673
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,2570.2674977629886,3162.5529569751097,-0.35667494393873245
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9949.80201731575,9928.944388552549,0.45107561936021673
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,4830.119169181164,5651.340609969111,0.01980262729617973
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9217.680181288046,9384.522089460112,0.4054651081081644
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,2570.2674977629886,3162.5529569751097,-0.35667494393873245
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1092.0128089311283,984.8637606053594,-0.8675005677047231
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,15052.560046322867,13351.027411419298,0.6981347220709843
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,656.4845266114595,129.3430048886721,-1.171182981502945
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1180.5446650262113,1140.4129889174847,-0.8209805520698302
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,2570.2674977629886,3162.5529569751097,-0.35667494393873245
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,6342.056693904903,7051.283664778235,0.1823215567939546
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5070.530149868527,5884.664452437299,0.04879016416943205
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,2570.2674977629886,3162.5529569751097,-0.35667494393873245
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1612.5654587464296,1840.3845163220476,-0.6348782724359695
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,5398.361258379835,6195.762909061548,0.08617769624105241
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4063.180116596073,4873.594468408485,-0.08338160893905101
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,2632.0923079581053,3240.327571131172,-0.342490308946776
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,1821.6610834748358,2151.482972946297,-0.5621189181535413
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,2632.0923079581053,3240.327571131172,-0.342490308946776
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,3843.613716486352,4640.270625940298,-0.11653381625595151
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5151.710788296554,5962.439066593361,0.058268908123975824
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,3628.9922966634567,4406.94678347211,-0.15082288973458366
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,5481.609069348721,6273.537523217612,0.09531017980432493
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,2570.2674977629886,3162.5529569751097,-0.35667494393873245
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,4989.870251333483,5806.889838281236,0.03922071315328133
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4137.458592947081,4951.369082564548,-0.07257069283483537
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,5481.609069348721,6273.537523217612,0.09531017980432493
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,16458.32353799936,14206.548167135988,0.7514160886839212
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,728.9929808348528,284.8922332007969,-1.1086626245216111
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,3916.2557342213877,4718.04524009636,-0.10536051565782628
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,2632.0923079581053,3240.327571131172,-0.342490308946776
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11934.492648846124,11328.887443361673,0.5596157879354227
