,carat,cut,color,clarity,depth,table,x,y,z,price_predicted,price_predict
48,0.32,Ideal,G,IF,61.0,57.0,4.44,4.48,2.72,227.03583858196544,207.11761904473406
49,0.94,Premium,E,SI2,60.4,59.0,6.37,6.34,3.84,5037.299584937014,5029.14369672061
50,0.51,Premium,E,VS2,60.6,58.0,5.15,5.12,3.11,1701.1489221423835,1684.835288009922
51,1.12,Ideal,H,SI2,61.4,56.0,6.69,6.66,4.1,6433.827769362674,6429.086751529736
52,1.33,Premium,G,SI2,60.3,58.0,7.19,7.16,4.33,8063.110651192609,8062.3536488070495
53,0.32,Premium,H,VS2,61.7,59.0,4.35,4.4,2.7,227.03583858196544,207.11761904473406
54,0.7,Ideal,E,VS2,62.6,57.0,5.63,5.68,3.54,3175.2620057028016,3162.5529569751097
55,1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,8218.280449462127,8217.902877119173
56,0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,-471.22825363086395,-492.85390835982844
57,0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,4726.959988397978,4718.04524009636
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5735.563677149844,5729.115224125173
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5657.978778015085,5651.340609969111
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2011.488518681419,1995.9337446341726
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,382.2056368514832,362.6668473568593
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3252.84690483756,3240.327571131172
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2011.488518681419,1995.9337446341726
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1933.9036195466606,1918.15913047811
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7287.2616598450195,7284.607507246423
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,-160.88865709182846,-181.75545173557794
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1856.3187204119013,1840.3845163220476
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7442.431458114538,7440.1567355585485
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,382.2056368514832,362.6668473568593
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,537.3754351210009,518.2160756689846
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,382.2056368514832,362.6668473568593
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6433.827769362674,6429.086751529736
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,71.8660403124477,51.56839073260926
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,537.3754351210009,518.2160756689846
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3252.84690483756,3240.327571131172
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,227.03583858196544,207.11761904473406
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1623.5640230076247,1607.0606738538595
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1701.1489221423835,1684.835288009922
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2244.243216085695,2229.257587102359
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,71.8660403124477,51.56839073260926
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,770.1301325252775,751.5399181371722
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,149.45093944720657,129.3430048886721
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4726.959988397978,4718.04524009636
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4028.6958961851496,4018.073712691798
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3175.2620057028016,3162.5529569751097
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,692.5452333905187,673.7653039811094
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3252.84690483756,3240.327571131172
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3252.84690483756,3240.327571131172
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4726.959988397978,4718.04524009636
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3485.601602241837,3473.6514135993602
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9382.05393648351,9384.522089460112
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9382.05393648351,9384.522089460112
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1002.8848299295537,984.8637606053594
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5580.393878880326,5573.565995813048
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16985.374051689876,17006.434276754237
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5657.978778015085,5651.340609969111
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,847.7150316600364,829.3145322932346
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3175.2620057028016,3162.5529569751097
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5580.393878880326,5573.565995813048
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6511.412668497432,6506.861365685798
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6201.073071958396,6195.762909061548
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3175.2620057028016,3162.5529569751097
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5502.808979745567,5495.791381656985
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9537.223734753028,9540.071317772235
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,925.2999307947948,907.0891464492965
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1080.4697290643126,1062.6383747614223
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,149.45093944720657,129.3430048886721
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,304.6207377167243,284.8922332007969
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3175.2620057028016,3162.5529569751097
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,304.6207377167243,284.8922332007969
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6744.167365901708,6740.1852081539855
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1701.1489221423835,1684.835288009922
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6511.412668497432,6506.861365685798
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1778.7338212771424,1762.6099021659852
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,-471.22825363086395,-492.85390835982844
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1623.5640230076247,1607.0606738538595
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6123.488172823639,6117.988294905486
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,71.8660403124477,51.56839073260926
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1468.394224738107,1451.5114455417347
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9459.638835618269,9462.296703616174
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5735.563677149844,5729.115224125173
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,149.45093944720657,129.3430048886721
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,847.7150316600364,829.3145322932346
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5735.563677149844,5729.115224125173
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6744.167365901708,6740.1852081539855
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5813.148576284602,5806.889838281236
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3252.84690483756,3240.327571131172
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,-5.7188588223111765,-26.20622342345314
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6201.073071958396,6195.762909061548
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3485.601602241837,3473.6514135993602
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1002.8848299295537,984.8637606053594
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1933.9036195466606,1918.15913047811
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1701.1489221423835,1684.835288009922
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5580.393878880326,5573.565995813048
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5502.808979745567,5495.791381656985
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5657.978778015085,5651.340609969111
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3408.016703107078,3395.8767994432974
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5580.393878880326,5573.565995813048
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,304.6207377167243,284.8922332007969
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7209.676760710262,7206.832893090361
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,149.45093944720657,129.3430048886721
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,6045.903273688879,6040.2136807494235
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5580.393878880326,5573.565995813048
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,-471.22825363086395,-492.85390835982844
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,459.79053598624205,440.4414615129217
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2011.488518681419,1995.9337446341726
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4726.959988397978,4718.04524009636
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3330.4318039723194,3318.1021852872345
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4183.8656944546665,4173.622941003922
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5813.148576284602,5806.889838281236
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3252.84690483756,3240.327571131172
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1080.4697290643126,1062.6383747614223
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,304.6207377167243,284.8922332007969
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11088.921717448204,11095.563600893487
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6511.412668497432,6506.861365685798
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1778.7338212771424,1762.6099021659852
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,71.8660403124477,51.56839073260926
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9614.808633887787,9617.8459319283
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,13416.468691490969,13428.802025575362
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,304.6207377167243,284.8922332007969
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,3175.2620057028016,3162.5529569751097
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7520.0163572492975,7517.931349714611
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,71.8660403124477,51.56839073260926
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2321.8281152204536,2307.032201258422
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4106.280795319907,4095.84832684786
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,770.1301325252775,751.5399181371722
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,149.45093944720657,129.3430048886721
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7520.0163572492975,7517.931349714611
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9459.638835618269,9462.296703616174
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2089.0734178161783,2073.7083587902353
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,149.45093944720657,129.3430048886721
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2089.0734178161783,2073.7083587902353
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,5192.469383206531,5184.692925032736
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1778.7338212771424,1762.6099021659852
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5657.978778015085,5651.340609969111
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5968.31837455412,5962.439066593361
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,7132.091861575503,7129.058278934299
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13416.468691490969,13428.802025575362
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9537.223734753028,9540.071317772235
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13494.053590625725,13506.576639731424
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,-83.30375795706959,-103.98083757951508
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,3175.2620057028016,3162.5529569751097
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3175.2620057028016,3162.5529569751097
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,15744.015665533734,15762.040450257236
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2244.243216085695,2229.257587102359
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1933.9036195466606,1918.15913047811
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,7054.506962440743,7051.283664778235
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1778.7338212771424,1762.6099021659852
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9925.148230426821,9928.944388552549
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3175.2620057028016,3162.5529569751097
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9925.148230426821,9928.944388552549
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5657.978778015085,5651.340609969111
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9382.05393648351,9384.522089460112
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3175.2620057028016,3162.5529569751097
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1002.8848299295537,984.8637606053594
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13338.88379235621,13351.027411419298
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,149.45093944720657,129.3430048886721
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1158.0546281990714,1140.4129889174847
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3175.2620057028016,3162.5529569751097
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,7054.506962440743,7051.283664778235
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5890.733475419362,5884.664452437299
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,3175.2620057028016,3162.5529569751097
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1856.3187204119013,1840.3845163220476
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,6201.073071958396,6195.762909061548
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4882.129786667497,4873.594468408485
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3252.84690483756,3240.327571131172
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2166.658316950936,2151.482972946297
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3252.84690483756,3240.327571131172
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4649.37508926322,4640.270625940298
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5968.31837455412,5962.439066593361
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4416.620391858943,4406.94678347211
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6278.6579710931555,6273.537523217612
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3175.2620057028016,3162.5529569751097
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5813.148576284602,5806.889838281236
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4959.714685802255,4951.369082564548
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,6278.6579710931555,6273.537523217612
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14192.317682838559,14206.548167135988
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,304.6207377167243,284.8922332007969
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4726.959988397978,4718.04524009636
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3252.84690483756,3240.327571131172
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11321.676414852482,11328.887443361673
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4028.6958961851496,4018.073712691798
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3563.1865013765955,3551.4260277554226
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,847.7150316600364,829.3145322932346
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,382.2056368514832,362.6668473568593
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,459.79053598624205,440.4414615129217
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7752.771054653574,7751.255192182799
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,10933.751919178685,10940.014372581361
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5580.393878880326,5573.565995813048
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1390.809325603348,1373.7368313856723
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3252.84690483756,3240.327571131172
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5580.393878880326,5573.565995813048
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4882.129786667497,4873.594468408485
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,149.45093944720657,129.3430048886721
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,71.8660403124477,51.56839073260926
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3175.2620057028016,3162.5529569751097
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5580.393878880326,5573.565995813048
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9382.05393648351,9384.522089460112
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4726.959988397978,4718.04524009636
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-471.22825363086395,-492.85390835982844
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,-316.05845536134643,-337.30468004770273
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,459.79053598624205,440.4414615129217
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3408.016703107078,3395.8767994432974
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,847.7150316600364,829.3145322932346
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,71.8660403124477,51.56839073260926
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5580.393878880326,5573.565995813048
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1701.1489221423835,1684.835288009922
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11088.921717448204,11095.563600893487
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1701.1489221423835,1684.835288009922
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3175.2620057028016,3162.5529569751097
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1778.7338212771424,1762.6099021659852
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5580.393878880326,5573.565995813048
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,149.45093944720657,129.3430048886721
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5580.393878880326,5573.565995813048
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7364.846558979779,7362.382121402486
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5580.393878880326,5573.565995813048
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5890.733475419362,5884.664452437299
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4726.959988397978,4718.04524009636
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2089.0734178161783,2073.7083587902353
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3951.1109970503903,3940.2990985357355
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,71.8660403124477,51.56839073260926
