,carat,cut,color,clarity,depth,table,x,y,z,price_predicted_4,price_predicted
58,1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5735.563677149844,7722.233554602679
59,1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,5657.978778015085,7685.451108359584
60,0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,2011.488518681419,5956.676134934158
61,0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,382.2056368514832,5184.24476382918
62,0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,3252.84690483756,6545.1952748236645
63,0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2011.488518681419,5956.676134934158
64,0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,1933.9036195466606,5919.893688691063
65,1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,7287.2616598450195,8457.882479464562
66,0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,-160.88865709182846,4926.76764012752
67,0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,1856.3187204119013,5883.111242447969
68,1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,7442.431458114538,8531.447371950751
69,0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,382.2056368514832,5184.24476382918
70,0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,537.3754351210009,5257.809656315368
71,0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,382.2056368514832,5184.24476382918
72,1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,6433.827769362674,8053.275570790527
73,0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,71.8660403124477,5037.114978856803
74,0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,537.3754351210009,5257.809656315368
75,0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,3252.84690483756,6545.1952748236645
76,0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,227.03583858196544,5110.679871342991
77,0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,1623.5640230076247,5772.763903718686
78,0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,1701.1489221423835,5809.546349961781
79,0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,2244.243216085695,6067.02347366344
80,0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,71.8660403124477,5037.114978856803
81,0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,770.1301325252775,5368.15699504465
82,0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,149.45093944720657,5073.897425099897
83,0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,4726.959988397978,7244.061753442455
84,0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4028.6958961851496,6913.019737254606
85,0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,3175.2620057028016,6508.412828580571
86,0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,692.5452333905187,5331.374548801557
87,0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3252.84690483756,6545.1952748236645
88,0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3252.84690483756,6545.1952748236645
89,0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,4726.959988397978,7244.061753442455
90,0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3485.601602241837,6655.542613552947
91,1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,9382.05393648351,9451.008528028106
92,1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,9382.05393648351,9451.008528028106
93,0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,1002.8848299295537,5478.5043337739335
94,1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,5580.393878880326,7648.668662116491
95,2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,16985.374051689876,13055.688259851338
96,1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5657.978778015085,7685.451108359584
97,0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,847.7150316600364,5404.939441287745
98,0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,3175.2620057028016,6508.412828580571
99,1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,5580.393878880326,7648.668662116491
100,1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,6511.412668497432,8090.05801703362
101,1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,6201.073071958396,7942.928232061245
102,0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3175.2620057028016,6508.412828580571
103,1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,5502.808979745567,7611.886215873396
104,1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,9537.223734753028,9524.573420514294
105,0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,925.2999307947948,5441.721887530839
106,0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,1080.4697290643126,5515.286780017027
107,0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,149.45093944720657,5073.897425099897
108,0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,304.6207377167243,5147.462317586085
109,0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,3175.2620057028016,6508.412828580571
110,0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,304.6207377167243,5147.462317586085
111,1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,6744.167365901708,8200.405355762903
112,0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,1701.1489221423835,5809.546349961781
113,1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,6511.412668497432,8090.05801703362
114,0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,1778.7338212771424,5846.328796204875
115,0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,-471.22825363086395,4779.637855155143
116,0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1623.5640230076247,5772.763903718686
117,1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,6123.488172823639,7906.14578581815
118,0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,71.8660403124477,5037.114978856803
119,0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,1468.394224738107,5699.199011232498
120,1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,9459.638835618269,9487.7909742712
121,1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,5735.563677149844,7722.233554602679
122,0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,149.45093944720657,5073.897425099897
123,0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,847.7150316600364,5404.939441287745
124,1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5735.563677149844,7722.233554602679
125,1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,6744.167365901708,8200.405355762903
126,1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,5813.148576284602,7759.016000845773
127,0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,3252.84690483756,6545.1952748236645
128,0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,-5.7188588223111765,5000.332532613708
129,1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,6201.073071958396,7942.928232061245
130,0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,3485.601602241837,6655.542613552947
131,0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,1002.8848299295537,5478.5043337739335
132,0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,1933.9036195466606,5919.893688691063
133,0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,1701.1489221423835,5809.546349961781
134,1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,5580.393878880326,7648.668662116491
135,1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,5502.808979745567,7611.886215873396
136,1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,5657.978778015085,7685.451108359584
137,0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,3408.016703107078,6618.7601673098525
138,1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,5580.393878880326,7648.668662116491
139,0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,304.6207377167243,5147.462317586085
140,1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,7209.676760710262,8421.100033221468
141,0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,149.45093944720657,5073.897425099897
142,1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,6045.903273688879,7869.363339575057
143,1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,5580.393878880326,7648.668662116491
144,0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,-471.22825363086395,4779.637855155143
145,0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,459.79053598624205,5221.027210072274
146,0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,2011.488518681419,5956.676134934158
147,0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,4726.959988397978,7244.061753442455
148,0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,3330.4318039723194,6581.977721066759
149,0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,4183.8656944546665,6986.584629740795
150,1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5813.148576284602,7759.016000845773
151,0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3252.84690483756,6545.1952748236645
152,0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,1080.4697290643126,5515.286780017027
153,0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,304.6207377167243,5147.462317586085
154,1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,11088.921717448204,10260.222345376178
155,1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,6511.412668497432,8090.05801703362
156,0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,1778.7338212771424,5846.328796204875
157,0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,71.8660403124477,5037.114978856803
158,1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,9614.808633887787,9561.355866757389
159,2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,13416.468691490969,11363.695732669004
160,0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,304.6207377167243,5147.462317586085
161,0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,3175.2620057028016,6508.412828580571
162,1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,7520.0163572492975,8568.229818193846
163,0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,71.8660403124477,5037.114978856803
164,0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,2321.8281152204536,6103.805919906534
165,0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,4106.280795319907,6949.802183497701
166,0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,770.1301325252775,5368.15699504465
167,0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,149.45093944720657,5073.897425099897
168,1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,7520.0163572492975,8568.229818193846
169,1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,9459.638835618269,9487.7909742712
170,0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,2089.0734178161783,5993.458581177252
171,0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,149.45093944720657,5073.897425099897
172,0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,2089.0734178161783,5993.458581177252
173,0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,5192.469383206531,7464.7564309010195
174,0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,1778.7338212771424,5846.328796204875
175,1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,5657.978778015085,7685.451108359584
176,1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,5968.31837455412,7832.580893331962
177,1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,7132.091861575503,8384.317586978374
178,2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,13416.468691490969,11363.695732669004
179,1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,9537.223734753028,9524.573420514294
180,2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,13494.053590625725,11400.478178912097
181,0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,-83.30375795706959,4963.550086370615
182,0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,3175.2620057028016,6508.412828580571
183,0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,3175.2620057028016,6508.412828580571
184,2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,15744.015665533734,12467.16911996183
185,0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,2244.243216085695,6067.02347366344
186,0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,1933.9036195466606,5919.893688691063
187,1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,7054.506962440743,8347.535140735281
188,0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,1778.7338212771424,5846.328796204875
189,1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,9925.148230426821,9708.485651729767
190,0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,3175.2620057028016,6508.412828580571
191,1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,9925.148230426821,9708.485651729767
192,1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,5657.978778015085,7685.451108359584
193,1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,9382.05393648351,9451.008528028106
194,0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3175.2620057028016,6508.412828580571
195,0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,1002.8848299295537,5478.5043337739335
196,2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,13338.88379235621,11326.91328642591
197,0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,149.45093944720657,5073.897425099897
198,0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,1158.0546281990714,5552.0692262601215
199,0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,3175.2620057028016,6508.412828580571
200,1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,7054.506962440743,8347.535140735281
201,1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5890.733475419362,7795.798447088868
202,0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,3175.2620057028016,6508.412828580571
203,0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,1856.3187204119013,5883.111242447969
204,1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,6201.073071958396,7942.928232061245
205,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4882.129786667497,7317.6266459286435
206,0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,3252.84690483756,6545.1952748236645
207,0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2166.658316950936,6030.241027420346
208,0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3252.84690483756,6545.1952748236645
209,0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4649.37508926322,7207.27930719936
210,1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5968.31837455412,7832.580893331962
211,0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4416.620391858943,7096.931968470078
212,1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,6278.6579710931555,7979.710678304338
213,0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,3175.2620057028016,6508.412828580571
214,1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,5813.148576284602,7759.016000845773
215,0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4959.714685802255,7354.409092171737
216,1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,6278.6579710931555,7979.710678304338
217,2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,14192.317682838559,11731.520195099947
218,0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,304.6207377167243,5147.462317586085
219,0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,4726.959988397978,7244.061753442455
220,0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,3252.84690483756,6545.1952748236645
221,1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,11321.676414852482,10370.569684105461
222,0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,4028.6958961851496,6913.019737254606
223,0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,3563.1865013765955,6692.325059796041
224,0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,847.7150316600364,5404.939441287745
225,0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,382.2056368514832,5184.24476382918
226,0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,459.79053598624205,5221.027210072274
227,1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,7752.771054653574,8678.577156923127
228,1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,10933.751919178685,10186.65745288999
229,1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,5580.393878880326,7648.668662116491
230,0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,1390.809325603348,5662.416564989404
231,0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,3252.84690483756,6545.1952748236645
232,1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5580.393878880326,7648.668662116491
233,0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,4882.129786667497,7317.6266459286435
234,0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,149.45093944720657,5073.897425099897
235,0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,71.8660403124477,5037.114978856803
236,0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3175.2620057028016,6508.412828580571
237,1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,5580.393878880326,7648.668662116491
238,1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,9382.05393648351,9451.008528028106
239,0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,4726.959988397978,7244.061753442455
240,0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,-471.22825363086395,4779.637855155143
241,0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,-316.05845536134643,4853.202747641331
242,0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,459.79053598624205,5221.027210072274
243,0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3408.016703107078,6618.7601673098525
244,0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,847.7150316600364,5404.939441287745
245,0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,71.8660403124477,5037.114978856803
246,1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,5580.393878880326,7648.668662116491
247,0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,1701.1489221423835,5809.546349961781
248,1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,11088.921717448204,10260.222345376178
249,0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,1701.1489221423835,5809.546349961781
250,0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,3175.2620057028016,6508.412828580571
251,0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,1778.7338212771424,5846.328796204875
252,1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,5580.393878880326,7648.668662116491
253,0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,149.45093944720657,5073.897425099897
254,1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,5580.393878880326,7648.668662116491
255,1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,7364.846558979779,8494.664925707657
256,1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,5580.393878880326,7648.668662116491
257,1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5890.733475419362,7795.798447088868
258,0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,4726.959988397978,7244.061753442455
259,0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,2089.0734178161783,5993.458581177252
260,0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3951.1109970503903,6876.237291011513
261,0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,71.8660403124477,5037.114978856803
