carat,cut,color,clarity,depth,table,x,y,z,cut_num,color_num,clarity_num,price_predicted
1.35,Ideal,H,VVS1,61.9,57.0,7.06,7.09,4.38,5,3,7,9873.161363556734
0.23,Good,F,VS2,63.8,57.0,3.93,3.84,2.48,2,5,4,-809.552230667316
0.9,Very Good,F,I1,61.9,59.0,6.16,6.18,3.82,3,5,1,3154.765098712058
1.03,Ideal,D,SI1,61.3,56.0,6.48,6.54,3.99,5,7,3,6292.30803929015
1.02,Good,E,SI2,62.8,64.0,6.36,6.32,3.98,2,6,2,4773.57003574987
0.55,Ideal,H,VVS2,61.7,57.0,5.28,5.26,3.25,5,3,6,2304.4483566271024
0.34,Ideal,E,IF,61.7,56.0,4.46,4.48,2.76,5,6,8,2775.1331516678056
0.71,Premium,D,VVS2,60.0,58.0,5.92,5.84,3.53,4,7,6,4744.619585436225
0.55,Good,G,SI1,63.6,61.0,5.22,5.16,3.3,2,4,3,562.0831213809938
0.54,Ideal,G,VS2,61.5,55.0,5.24,5.27,3.23,5,4,4,1630.2479425935612
1.23,Ideal,H,IF,61.3,57.0,6.87,6.92,4.23,5,3,8,9287.726198692675
0.27,Premium,E,VVS1,60.6,58.0,4.18,4.2,2.54,4,6,7,1696.383673193371
0.53,Ideal,D,VS2,61.4,56.0,5.18,5.21,3.19,5,7,4,2530.5480848896104
1.25,Ideal,G,SI2,61.1,55.0,6.95,6.99,4.26,5,4,2,6833.913450450293
0.34,Ideal,E,VVS2,62.3,57.0,4.48,4.44,2.78,5,6,6,1680.6157746277154
0.36,Premium,I,VS2,62.7,59.0,4.54,4.58,2.86,4,2,4,-652.8078647168518
0.34,Ideal,G,SI1,61.2,57.0,4.56,4.53,2.78,5,4,3,-444.1253130143764
1.12,Good,E,SI1,64.3,57.0,6.56,6.5,4.2,2,6,3,6231.793476128264
0.3,Ideal,H,VS1,61.6,55.0,4.27,4.3,2.64,5,3,5,86.14078893728447
0.36,Ideal,D,SI1,62.0,56.0,4.61,4.55,2.84,5,7,3,655.8680679125769
0.71,Ideal,F,VVS1,61.1,54.0,5.78,5.84,3.55,5,5,7,4862.202215068766
0.32,Premium,G,VS2,62.6,60.0,4.33,4.36,2.72,4,4,4,-262.22927113482956
0.5,Premium,E,VS2,61.3,60.0,5.11,5.07,3.12,4,6,4,1726.7134476396668
0.51,Very Good,E,SI1,63.3,59.0,5.09,5.05,3.21,3,6,3,1092.382581483188
0.58,Ideal,J,VS1,61.9,58.0,5.31,5.35,3.3,5,1,5,1417.248849283703
0.3,Ideal,F,IF,62.5,54.0,4.31,4.33,2.7,5,5,8,2140.1498401637123
0.39,Ideal,G,VVS1,62.3,57.0,4.7,4.64,2.91,5,4,7,1870.6060836445297
0.31,Ideal,F,VS2,61.8,56.0,4.37,4.33,2.69,5,5,4,204.4168833655899
0.9,Very Good,H,VS1,60.5,63.0,6.13,6.16,3.72,3,3,5,4546.376314027732
0.81,Premium,G,SI2,61.7,57.0,5.99,5.94,3.68,4,4,2,2691.6231277310617
0.7,Premium,E,SI2,61.1,61.0,5.74,5.69,3.49,4,6,2,2316.195499938466
0.38,Very Good,J,VS2,60.5,60.0,4.64,4.68,2.82,3,1,4,-810.5484112101694
0.71,Very Good,G,SI1,60.0,59.0,5.76,5.8,3.47,3,4,3,2287.6276417280246
0.71,Very Good,D,VS2,63.1,58.0,5.67,5.7,3.59,3,7,4,3601.223799241554
0.9,Very Good,H,VS1,62.1,59.0,6.09,6.14,3.8,3,3,5,4551.339733945992
0.74,Very Good,F,SI2,63.2,58.0,5.75,5.71,3.62,3,5,2,2200.4790931391194
1.5,Premium,H,VS2,62.4,59.0,7.32,7.29,4.56,4,3,4,9559.511016200688
1.5,Very Good,F,SI1,63.0,55.0,7.27,7.31,4.59,3,5,3,9690.613712424125
0.42,Ideal,F,VS1,61.0,57.0,4.87,4.84,2.96,5,5,5,1476.3575456839835
1.01,Premium,G,VS2,61.6,58.0,6.45,6.4,3.96,4,4,4,5428.132719262805
2.48,Premium,I,SI2,63.0,62.0,8.62,8.58,5.42,4,2,2,17627.310271989503
1.02,Ideal,F,VVS2,61.1,56.3,6.48,6.52,3.97,5,5,6,7039.854340867351
0.4,Ideal,D,VS2,61.3,57.0,4.77,4.75,2.92,5,7,4,1475.0540922326584
0.7,Ideal,F,SI1,61.3,57.0,5.76,5.79,3.54,5,5,3,2680.9623423121507
1.01,Good,E,VS2,62.5,58.0,6.32,6.36,3.96,2,6,4,5884.241774474609
1.13,Very Good,I,VS2,60.7,58.0,6.72,6.75,4.09,3,2,4,5801.739566440356
1.09,Ideal,I,VS2,61.9,56.0,6.62,6.67,4.09,5,2,4,5647.817625456455
0.7,Very Good,E,VS2,62.7,58.0,5.65,5.67,3.55,3,6,4,3221.3561610184274
1.0,Premium,F,SI1,60.8,59.0,6.44,6.38,3.9,4,5,3,5195.995200282737
1.52,Ideal,H,VS2,61.8,54.0,7.42,7.43,4.59,5,3,4,9988.196448662984
0.41,Ideal,G,VVS2,62.2,56.0,4.75,4.8,2.97,5,4,6,1581.2036477132315
0.43,Very Good,J,VS2,60.9,59.0,4.86,4.9,2.97,3,1,4,-478.8109084140706
0.31,Very Good,E,SI2,60.8,61.0,4.39,4.43,2.68,3,6,2,-771.570636774276
0.33,Ideal,G,VS2,62.2,56.0,4.47,4.44,2.77,5,4,4,-28.528198827551478
0.7,Premium,E,VS2,61.0,59.0,5.74,5.7,3.49,4,6,4,3374.221431114701
0.33,Ideal,G,VVS2,62.5,54.0,4.41,4.45,2.77,5,4,6,1053.9135529145965
1.16,Premium,H,SI2,62.6,57.0,6.75,6.67,4.2,4,3,2,5407.349232666585
0.51,Ideal,E,VS2,61.8,57.0,5.15,5.14,3.18,5,6,4,1954.5289730728125
1.13,Good,G,I1,63.4,58.0,6.58,6.61,4.18,2,4,1,4732.525846770911
0.52,Premium,E,VS2,62.5,60.0,5.1,5.14,3.2,4,6,4,1854.7252851346184
0.23,Very Good,F,VVS2,61.4,56.0,3.94,3.97,2.43,3,5,6,529.1621247853982
0.5,Fair,F,SI1,64.7,60.0,4.99,4.84,3.18,1,5,3,367.11110864360126
1.08,Very Good,D,VS1,60.5,58.0,6.53,6.63,3.98,3,7,5,7569.338972632073
0.3,Premium,G,VS1,62.2,59.0,4.31,4.28,2.67,4,4,5,94.82957339156565
0.48,Ideal,J,VS1,62.2,54.0,5.01,5.06,3.13,5,1,5,685.1937295859752
1.51,Ideal,J,VS1,61.6,58.0,7.35,7.43,4.55,5,1,5,9710.775858649202
1.03,Premium,F,SI2,62.4,59.0,6.45,6.38,4.0,4,5,2,4878.706725515653
0.31,Very Good,G,VVS2,63.4,59.0,4.29,4.26,2.71,3,4,6,500.5508888158197
0.4,Ideal,G,IF,62.3,55.0,4.74,4.76,2.96,5,4,8,2494.868105717317
1.03,Ideal,E,VS2,61.7,56.0,6.45,6.54,4.01,5,6,4,6461.329284436679
1.16,Premium,J,SI1,62.5,58.0,6.73,6.67,4.19,4,1,3,5260.318812266874
1.04,Very Good,J,SI2,62.8,57.0,6.44,6.5,4.06,3,1,2,3604.546505529324
0.71,Premium,E,VS2,61.5,60.0,5.76,5.68,3.52,4,6,4,3394.5830487404983
0.29,Very Good,H,VVS2,61.2,56.0,4.26,4.29,2.61,3,3,6,253.38050673443786
1.09,Ideal,G,SI2,61.2,57.0,6.68,6.63,4.07,5,4,2,5271.552113326707
0.74,Ideal,F,VS1,62.3,56.0,5.76,5.79,3.6,5,5,5,4056.8672722224082
0.42,Ideal,D,VS2,62.4,55.0,4.82,4.8,3.0,5,7,4,1605.9023527842833
0.54,Ideal,I,SI1,62.0,55.0,5.21,5.25,3.24,5,2,3,470.61768337628246
0.51,Ideal,E,VS2,62.6,55.0,5.08,5.11,3.19,5,6,4,2006.1347709065058
1.01,Premium,F,SI2,58.8,61.0,6.53,6.46,3.82,4,5,2,4842.965379652824
1.0,Premium,H,VS2,59.4,61.0,6.51,6.46,3.85,4,3,4,5050.455826715932
1.02,Premium,H,VS2,61.0,60.0,6.5,6.46,3.95,4,3,4,5166.997286294017
0.73,Good,E,VS1,60.8,61.0,5.77,5.8,3.52,2,6,5,3900.3061786759645
1.01,Premium,H,SI2,60.3,59.0,6.51,6.45,3.91,4,3,2,4136.9559636156355
0.33,Good,D,SI1,63.1,55.0,4.38,4.4,2.77,2,7,3,121.48697179791134
1.22,Ideal,F,VS1,62.3,57.0,6.79,6.83,4.24,5,5,5,8319.086276436941
0.31,Ideal,D,VS1,62.0,54.0,4.35,4.36,2.7,5,7,5,1405.8807622926338
1.07,Premium,G,SI1,60.5,62.0,6.69,6.6,4.02,4,4,3,5349.776715576286
1.01,Very Good,E,VVS2,60.2,60.0,6.46,6.5,3.9,3,6,6,7014.478532641001
0.23,Very Good,F,IF,59.5,58.0,4.0,4.03,2.39,3,5,8,1577.240542179956
0.35,Very Good,D,VS1,60.9,58.0,4.54,4.56,2.77,3,7,5,1413.4618241658477
0.55,Ideal,F,VVS2,60.7,56.0,5.31,5.34,3.23,5,5,6,3036.279471091722
0.9,Ideal,G,SI1,61.9,59.0,6.16,6.19,3.82,5,4,3,4067.8561354874346
0.72,Ideal,G,VVS1,62.2,57.0,5.72,5.75,3.57,5,4,7,4531.046888647481
0.83,Very Good,E,SI1,63.5,58.0,5.93,5.98,3.78,3,6,3,3814.7649815263644
1.04,Ideal,H,SI1,61.9,57.0,6.49,6.46,4.01,5,3,3,5017.628752022805
0.71,Very Good,E,VS2,59.9,59.0,5.77,5.81,3.47,3,6,4,3432.384078115391
0.43,Ideal,F,SI1,61.3,56.0,4.9,4.86,2.99,5,5,3,561.0564557858252
0.33,Ideal,E,VS2,61.3,55.0,4.46,4.48,2.74,5,6,4,732.0027634178705
1.72,Fair,D,SI2,64.6,58.0,7.53,7.46,4.84,1,7,2,11545.801367923576
1.13,Ideal,G,SI1,61.8,55.0,6.71,6.75,4.16,5,4,3,6182.433377597206
0.52,Ideal,D,SI1,62.4,56.0,5.12,5.17,3.21,5,7,3,1894.2764627606002
0.3,Very Good,G,VS1,62.5,55.0,4.25,4.32,2.68,3,4,5,113.81892953988336
1.53,Premium,G,VS1,61.0,60.0,7.43,7.4,4.52,4,4,5,10703.151359295844
2.02,Fair,H,SI2,56.5,61.0,8.33,8.37,4.72,1,3,2,13422.119947002593
0.33,Premium,H,VS1,61.0,59.0,4.5,4.45,2.73,4,3,5,20.86074083442236
0.7,Very Good,G,I1,61.5,63.0,5.73,5.65,3.5,3,4,1,972.5677098144024
1.26,Premium,I,SI1,60.5,62.0,6.97,6.92,4.2,4,2,3,6523.261875108828
0.3,Premium,D,VS2,62.5,59.0,4.28,4.23,2.66,4,7,4,569.6910790058146
0.59,Very Good,H,VS1,62.1,55.0,5.37,5.41,3.35,3,3,5,1939.1153515899505
0.82,Ideal,E,SI1,62.1,55.0,5.98,6.0,3.72,5,6,3,4095.5848907094414
0.39,Very Good,G,VVS2,60.7,61.0,4.7,4.73,2.86,3,4,6,1166.4659885734322
0.31,Ideal,H,IF,62.1,54.0,4.33,4.37,2.7,5,3,8,1618.2277358289334
1.26,Ideal,I,SI2,62.0,56.0,7.0,6.94,4.32,5,2,2,6142.038438548294
1.51,Very Good,F,SI2,62.7,60.0,7.25,7.32,4.57,3,5,2,9216.229848494298
0.56,Ideal,G,VS1,60.6,56.0,5.33,5.36,3.24,5,4,5,2313.2817338440277
0.31,Ideal,G,VVS1,62.5,55.0,4.34,4.33,2.71,5,4,7,1372.3338544150288
0.56,Ideal,H,VVS2,60.9,57.0,5.38,5.33,3.26,5,3,6,2386.9218811900837
0.96,Premium,E,SI2,58.2,58.0,6.52,6.47,3.78,4,6,2,4758.521165512322
0.52,Very Good,E,SI1,62.7,57.0,5.1,5.14,3.21,3,6,3,1298.3077634162646
1.02,Very Good,H,SI1,63.5,55.0,6.31,6.35,4.02,3,3,3,4645.704304314272
1.06,Good,I,VS1,57.5,62.0,6.71,6.83,3.9,2,2,5,5596.956628593557
1.21,Ideal,H,SI1,62.1,59.0,6.81,6.75,4.21,5,3,3,6508.724955236492
2.02,Fair,H,VS2,64.5,57.0,8.0,7.95,5.14,1,3,4,14128.8033255037
1.52,Ideal,G,VS2,62.1,56.0,7.39,7.34,4.57,5,4,4,10260.746251142555
2.03,Very Good,I,SI2,62.8,59.0,8.04,8.08,5.06,3,2,2,13218.545173237955
0.28,Good,F,VVS2,61.2,62.0,4.16,4.21,2.56,2,5,6,608.8394735780062
0.7,Fair,G,VS1,65.8,61.0,5.61,5.46,3.64,1,4,5,2522.6791819272476
0.7,Ideal,G,VVS1,62.3,57.0,5.61,5.65,3.51,5,4,7,4408.039498911549
2.32,Fair,H,I1,70.5,55.0,7.93,7.9,5.58,1,3,1,15517.532711235217
0.58,Ideal,J,VS2,60.9,57.0,5.38,5.4,3.28,5,1,4,964.0969509143988
0.54,Ideal,D,VS1,61.6,54.0,5.24,5.25,3.23,5,7,5,3116.63674986031
1.2,Very Good,I,SI1,62.9,54.0,6.75,6.77,4.25,3,2,3,5956.677291193792
0.52,Very Good,F,VS2,62.4,57.0,5.12,5.13,3.2,3,5,4,1478.9569275639951
1.57,Premium,F,SI2,60.2,60.0,7.49,7.43,4.49,4,5,2,9982.891611507126
0.7,Premium,I,I1,62.3,58.0,5.69,5.55,3.51,4,2,1,543.5356569632304
1.57,Very Good,H,SI1,62.0,60.0,7.4,7.44,4.6,3,3,3,9644.274829687172
1.02,Very Good,D,VS2,63.2,58.0,6.4,6.36,4.03,3,7,4,6298.383724791231
1.5,Premium,F,VS2,62.4,57.0,7.38,7.29,4.58,4,5,4,10200.560457194662
0.7,Very Good,E,VS1,62.7,60.0,5.59,5.64,3.52,3,6,5,3725.371499707304
0.42,Premium,F,SI1,60.6,58.0,4.89,4.81,2.94,4,5,3,347.3609322617908
2.01,Premium,H,SI1,60.0,60.0,8.16,8.13,4.89,4,3,3,14045.72101176012
0.31,Premium,G,VS1,62.2,58.0,4.38,4.34,2.71,4,4,5,163.91992995558076
0.44,Ideal,E,VVS2,61.9,56.0,4.91,4.88,3.03,5,6,6,2429.066284993193
0.7,Ideal,D,VVS2,61.7,55.0,5.73,5.75,3.54,5,7,6,4870.051668365817
1.2,Premium,J,SI1,60.0,61.0,6.89,6.84,4.12,4,1,3,5686.698266637442
1.05,Ideal,G,VS1,62.2,57.0,6.49,6.51,4.04,5,4,5,6423.357460829448
0.7,Ideal,F,I1,62.1,57.0,5.67,5.64,3.52,5,5,1,1698.8701921351205
0.53,Premium,F,SI1,60.9,59.0,5.21,5.23,3.18,4,5,3,1200.4947191717927
1.09,Premium,H,SI2,61.2,62.0,6.63,6.58,4.04,4,3,2,4744.637179454144
0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,4,6,2,4294.144593992818
0.71,Premium,F,VS2,58.0,62.0,5.85,5.81,3.38,4,5,4,3236.0877447446187
0.57,Good,F,SI2,61.9,57.7,5.32,5.34,3.3,2,5,2,745.4310622849184
0.71,Very Good,G,VS2,63.5,59.0,5.67,5.63,3.59,3,4,4,2568.333459164298
0.89,Premium,G,SI1,61.1,58.0,6.24,6.17,3.79,4,4,3,3855.4975374558244
1.06,Ideal,G,SI1,62.9,56.0,6.52,6.49,4.09,5,4,3,5471.821374956895
0.86,Premium,H,SI2,61.0,58.0,6.15,6.12,3.74,4,3,2,2799.453001685978
1.1,Premium,G,VS2,60.2,58.0,6.75,6.71,4.05,4,4,4,6252.913107678944
0.7,Ideal,E,SI1,62.5,57.0,5.7,5.72,3.57,5,6,3,2957.9299872071133
1.04,Premium,G,VS1,61.5,61.0,6.56,6.51,4.02,4,4,5,6081.11830972217
0.93,Premium,E,I1,62.3,60.0,6.23,6.2,3.87,4,6,1,3798.8814711546765
1.1,Premium,F,I1,59.8,61.0,6.7,6.65,3.99,4,5,1,5084.645808922405
2.12,Premium,H,SI2,62.3,58.0,8.25,8.16,5.12,4,3,2,14516.47377514915
0.33,Ideal,F,VVS1,62.4,55.0,4.44,4.47,2.78,5,5,7,1829.4562856069465
0.9,Fair,I,VS2,65.8,55.0,6.05,6.01,3.97,1,2,4,3311.1548671514565
0.71,Ideal,E,VS1,62.0,57.0,5.72,5.66,3.53,5,6,5,4086.9252248952066
1.75,Ideal,G,VS2,62.1,57.0,7.73,7.69,4.79,5,4,4,12435.380000512689
0.81,Ideal,H,SI1,61.4,56.0,6.0,6.05,3.7,5,3,3,3030.826251782261
0.75,Good,I,VVS1,63.9,61.0,5.7,5.67,3.63,2,2,7,3621.1184242833756
0.4,Ideal,G,VS2,62.6,56.0,4.69,4.74,2.95,5,4,4,497.76857628266544
0.34,Ideal,G,VS2,62.1,55.0,4.49,4.46,2.78,5,4,4,96.77884330667302
0.35,Premium,F,VS2,61.8,58.0,4.48,4.52,2.78,4,5,4,368.49230623751055
1.29,Very Good,I,VS2,62.8,58.0,6.89,6.93,4.34,3,2,4,7213.591860365069
1.7,Premium,G,SI1,61.7,58.0,7.69,7.6,4.72,4,4,3,11314.221157272068
1.01,Premium,F,SI1,62.7,54.0,6.42,6.37,4.01,4,5,3,5291.529465469128
0.47,Good,D,SI1,63.8,59.0,4.9,4.88,3.12,2,7,3,996.3474797747576
0.71,Premium,E,SI1,59.2,59.0,5.86,5.83,3.46,4,6,3,3026.967822746106
1.01,Ideal,G,VS1,61.3,56.0,6.49,6.44,3.96,5,4,5,6087.167479029518
0.92,Good,J,SI2,59.0,63.0,6.3,6.35,3.73,2,1,2,2472.883574364614
0.31,Ideal,F,VVS1,61.6,55.0,4.36,4.41,2.7,5,5,7,1754.7513728659937
0.3,Ideal,G,VVS1,61.3,56.0,4.3,4.34,2.65,5,4,7,1377.320165257837
0.7,Very Good,G,SI1,62.1,58.0,5.66,5.7,3.53,3,4,3,2118.18244225212
1.01,Premium,H,IF,62.1,59.0,6.47,6.41,4.0,4,3,8,7009.471317005224
1.5,Very Good,H,SI2,62.5,60.0,7.25,7.32,4.55,3,3,2,8477.292824565855
0.9,Very Good,D,VS1,62.2,58.0,6.14,6.18,3.83,3,7,5,5815.736514324714
0.23,Good,F,VVS2,62.8,61.0,3.92,3.95,2.47,2,5,6,179.11390765996612
0.25,Good,E,VVS2,58.0,65.0,4.13,4.18,2.41,2,6,6,824.0425050870203
0.35,Ideal,F,VVS2,62.1,56.0,4.56,4.52,2.82,5,5,6,1433.8375777754163
0.73,Very Good,D,SI2,60.4,59.0,5.8,5.86,3.52,3,7,2,2907.66788189237
0.4,Very Good,G,IF,61.2,57.0,4.77,4.79,2.92,3,4,8,2268.9259024110634
0.3,Ideal,E,VS2,61.5,55.0,4.33,4.29,2.65,5,6,4,508.32395955277116
1.01,Premium,J,VVS2,62.7,59.0,6.46,6.39,4.03,4,1,6,5322.498332250969
0.51,Ideal,D,SI2,62.5,55.0,5.12,5.15,3.21,5,7,2,1303.1800309015534
1.72,Premium,F,I1,60.1,58.0,7.77,7.74,4.66,4,5,1,10926.891671528865
0.51,Good,E,SI1,64.3,54.0,5.1,5.07,3.27,2,6,3,1009.0732099879588
0.7,Ideal,E,VS1,62.2,58.0,5.67,5.71,3.54,5,6,5,3983.545679305895
0.52,Good,H,VS2,63.6,57.0,5.05,5.1,3.23,2,3,4,676.9886448972698
1.01,Premium,F,SI2,62.2,59.0,6.41,6.38,3.98,4,5,2,4714.985062794665
0.31,Ideal,F,VS2,62.1,57.0,4.34,4.36,2.7,5,5,4,182.83367411053723
1.01,Good,G,SI1,63.6,57.0,6.33,6.37,4.04,2,4,3,4659.424678955519
1.24,Good,E,SI1,63.5,55.0,6.82,6.86,4.35,2,6,3,7424.7400353143385
1.01,Very Good,I,SI1,60.1,59.0,6.44,6.47,3.88,3,2,3,4278.420427371165
1.05,Ideal,G,VS2,61.9,57.0,6.47,6.51,4.03,5,4,4,5969.041376148862
0.9,Good,G,SI1,63.7,60.0,6.11,6.07,3.88,2,4,3,3572.74924809188
0.56,Ideal,E,VS2,61.6,57.0,5.3,5.32,3.27,5,6,4,2378.4105125739716
0.8,Very Good,F,SI1,61.6,56.0,5.96,6.0,3.68,3,5,3,3349.9581798043514
0.3,Ideal,D,SI1,62.5,57.0,4.32,4.29,2.69,5,7,3,205.73783369600142
0.76,Ideal,H,VS2,62.7,57.0,5.82,5.86,3.66,5,3,4,3013.343759908639
1.21,Premium,H,SI1,59.8,58.0,6.95,6.9,4.14,4,3,3,6483.007319714074
1.51,Very Good,J,VS1,61.4,57.0,7.3,7.38,4.51,3,1,5,9562.51161393519
1.21,Ideal,H,VVS2,61.3,56.0,6.85,6.89,4.21,5,3,6,8116.750190129362
0.7,Ideal,F,SI1,61.5,57.0,5.67,5.74,3.51,5,5,3,2750.259376189807
0.53,Ideal,I,VS2,62.2,56.0,5.15,5.2,3.22,5,2,4,872.9639387459392
0.46,Ideal,E,VS1,61.9,55.0,4.94,4.97,3.06,5,6,5,2149.806636836118
0.41,Ideal,G,IF,61.7,56.0,4.79,4.81,2.96,5,4,8,2582.1492980280627
0.37,Very Good,F,VS2,61.0,58.0,4.61,4.63,2.82,3,5,4,411.9479898723148
0.58,Ideal,F,SI2,60.9,57.0,5.4,5.44,3.3,5,5,2,1242.7406200524704
0.72,Premium,F,SI1,59.5,62.0,5.85,5.74,3.45,4,5,3,2716.0318121299733
1.5,Good,G,SI1,58.4,65.0,7.45,7.41,4.34,2,4,3,9214.993650208733
1.31,Very Good,H,VS2,61.4,59.0,6.96,7.01,4.29,3,3,4,7786.254595526819
1.0,Very Good,D,SI1,62.1,58.0,6.34,6.45,3.97,3,7,3,5736.197270459555
0.41,Premium,G,VVS1,60.3,60.0,4.78,4.74,2.87,4,4,7,1986.6702904698366
0.38,Ideal,F,VVS1,61.0,57.0,4.67,4.71,2.86,5,5,7,2226.1341799590004
0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,4,6,7,2157.982874644578
0.3,Premium,D,VS2,61.7,58.0,4.32,4.3,2.66,4,7,4,626.3307315867087
1.13,Ideal,I,VS1,61.6,54.0,6.72,6.74,4.15,5,2,5,6565.584334462565
0.37,Premium,E,VVS2,60.9,59.0,4.61,4.65,2.82,4,6,6,1834.9064060634728
0.39,Premium,G,VVS2,60.7,61.0,4.73,4.7,2.86,4,4,6,1256.2113095936888
0.5,Good,D,SI1,63.9,56.0,5.02,4.93,3.18,2,7,3,1279.814695961402
